date,key,value
0:00,shared,11
0:00,unshared,81
1:00,shared,18
1:00,unshared,64
2:00,shared,7
2:00,unshared,61
3:00,shared,4
3:00,unshared,48
4:00,shared,1
4:00,unshared,30
5:00,shared,0
5:00,unshared,18
6:00,shared,0
6:00,unshared,18
7:00,shared,2
7:00,unshared,35
8:00,shared,2
8:00,unshared,39
9:00,shared,1
9:00,unshared,40
10:00,shared,2
10:00,unshared,36
11:00,shared,3
11:00,unshared,40
12:00,shared,0
12:00,unshared,30
13:00,shared,1
13:00,unshared,39
14:00,shared,3
14:00,unshared,55
15:00,shared,5
15:00,unshared,40
16:00,shared,9
16:00,unshared,51
17:00,shared,6
17:00,unshared,70
18:00,shared,12
18:00,unshared,77
19:00,shared,12
19:00,unshared,86
20:00,shared,15
20:00,unshared,91
21:00,shared,10
21:00,unshared,89
22:00,shared,15
22:00,unshared,104
23:00,shared,14
23:00,unshared,87
